current (A), dT (V), TEC voltage (V)
6, 55.646081875131514, 4.517846447707072
6, 26.695501562070028, 3.8977127409877426
6, 0.36673843016008334, 3.3742655033426665
12, 61.36859996438804, 7.744289946096439
12, 28.428444243003057, 6.996293118798254
12, 0.2753128186865581, 6.340369393139838
18, 69.14547485310067, 11.375447172896056
18, 34.60938536995969, 10.56266895446525
18, 0, 9.750133544846785
24, 76.4628907198472, 14.53031063340725
24, 35.20196837010538, 13.561406348641075
24, 0.2103048059957615, 12.783689722712332
30, 78.87880602813345, 17.525163086585614
30, 38.07449374362626, 16.657558638328176
30, 0.2343914401800049, 15.95409294721336
